,Date of Designation,City,Country,"Date of
Incident",Description
0,,,,,
1,"April 5, 2024",Jerusalem, ,November 2023,Shooting
2,"April 5, 2024", ,Iraq,December 2023,Armed Attack
3,"March 19, 2024", ,Jordan,January 2024,Drone Attack
4,"February 21, 2024",Ain Al-Asad Air Base,Iraq,January 2024,Armed Attack
5,"November 17, 2023",Al-Tanf Base,Syria,October 2023,Armed Attack
6,"November 17, 2023",Al-Asad Base,Iraq,October 2023,Armed Attack
7,"November 17, 2023", ,Israel,October 2023,Armed Attack
8,"October 12, 2023", ,Israel,"October 7, 2023 - October 8, 2023",Coordinated Attacks
9,"September 25, 2023",Kandahar,Afghanistan,"January 26, 2008","Hostage taking/Killing, or attempting to kill, a U.S. national abroad"
10,"August 9, 2023",Galkayo,Somalia,January 2012,Hostage Taking
11,"August 9, 2023",Taji,Iraq,August 2007,Armed Attack
12,"August 9, 2023", ,West Bank,March 2023,Shooting
13,"August 9, 2023", ,Nigeria,May 2023,Armed Attack
14,"June 14, 2023", ,West Bank,February 2023,Shooting
15,"June 14, 2023", ,Syria,February 2023,Armed Attack
16,"June 14, 2023",Cheltenham,England,March 2023,Stabbing
17,"June 14, 2023", ,Colombia,March 2023,Hostage Taking (Released)
18,"May 16, 2023", ,Syria,March 2023,Rocket Attack
19,"April 7, 2023", ,Niger,October 2016,Hostage Taking (Released)
20,"March 23, 2023",Jerusalem, ,"November 5, 2014",Vehicle Attack
21,"December 16, 2022",Baghdad,Iraq,"November 7, 2022",Armed Attack
22,"December 16, 2022",Jerusalem, ,"November 23, 2022",Explosion
23,"October 27, 2022", ,Northern Iraq,"September 28, 2022 (on or about)",Rocket Attack
24,"October 14, 2022", ,Northeast Syria,"August 23, 2022 (on or about)",Rocket Attack
25,"October 14, 2022",Kabul,Afghanistan,January 2020,Hostage/Kidnapping
26,"July 22, 2022",Muscat,Oman,"February 3, 2022",Stabbing
27,"March 23, 2022",Amritsar,India,"December 24, 1999",Aircraft Hijacking
28,"February 25, 2022",Gao,Mali,"January 26, 2022",Mortar Attack
29,"May 24, 2021",Mogadishu,Somalia,"May 9, 2021",Suicide Bombing
30,"May 24, 2021",Palma,Mozambique,"March 29, 2021",Armed Attack
31,"May 24, 2021",Salahuddin Province,Iraq,"February 20, 2021",Rocket Attack
32,"April 13, 2021",Tehsile,Somalia,"January 17, 2021",Improvised Explosive Device (IED)
33,"April 7, 2021",Anbar Province,Iraq,"March 3, 2021",Rocket Attack
